"","Date","sulfate","nitrate","ID"
"1","2003-01-01",NA,NA,70
"2","2003-01-02",NA,NA,70
"3","2003-01-03",3.82,0.494,70
"4","2003-01-04",NA,NA,70
"5","2003-01-05",NA,NA,70
"6","2003-01-06",NA,NA,70
"7","2003-01-07",NA,NA,70
"8","2003-01-08",NA,NA,70
"9","2003-01-09",3.1,0.452,70
"10","2003-01-10",NA,NA,70
"11","2003-01-11",NA,NA,70
"12","2003-01-12",NA,NA,70
"13","2003-01-13",NA,NA,70
"14","2003-01-14",NA,NA,70
"15","2003-01-15",NA,NA,70
"16","2003-01-16",NA,NA,70
"17","2003-01-17",NA,NA,70
"18","2003-01-18",NA,NA,70
"19","2003-01-19",NA,NA,70
"20","2003-01-20",NA,NA,70
"21","2003-01-21",NA,NA,70
"22","2003-01-22",NA,NA,70
"23","2003-01-23",NA,NA,70
"24","2003-01-24",NA,NA,70
"25","2003-01-25",NA,NA,70
"26","2003-01-26",NA,NA,70
"27","2003-01-27",3.73,0.69,70
"28","2003-01-28",NA,NA,70
"29","2003-01-29",NA,NA,70
"30","2003-01-30",NA,NA,70
"31","2003-01-31",NA,NA,70
"32","2003-02-01",NA,NA,70
"33","2003-02-02",NA,NA,70
"34","2003-02-03",NA,NA,70
"35","2003-02-04",NA,NA,70
"36","2003-02-05",NA,NA,70
"37","2003-02-06",NA,NA,70
"38","2003-02-07",NA,NA,70
"39","2003-02-08",NA,NA,70
"40","2003-02-09",NA,NA,70
"41","2003-02-10",NA,NA,70
"42","2003-02-11",NA,NA,70
"43","2003-02-12",NA,NA,70
"44","2003-02-13",NA,NA,70
"45","2003-02-14",NA,NA,70
"46","2003-02-15",NA,NA,70
"47","2003-02-16",NA,NA,70
"48","2003-02-17",NA,NA,70
"49","2003-02-18",NA,NA,70
"50","2003-02-19",NA,NA,70
"51","2003-02-20",NA,NA,70
"52","2003-02-21",NA,NA,70
"53","2003-02-22",NA,NA,70
"54","2003-02-23",NA,NA,70
"55","2003-02-24",NA,NA,70
"56","2003-02-25",NA,NA,70
"57","2003-02-26",NA,NA,70
"58","2003-02-27",NA,NA,70
"59","2003-02-28",NA,NA,70
"60","2003-03-01",NA,NA,70
"61","2003-03-02",NA,NA,70
"62","2003-03-03",NA,NA,70
"63","2003-03-04",NA,NA,70
"64","2003-03-05",1.35,0.4,70
"65","2003-03-06",NA,NA,70
"66","2003-03-07",NA,NA,70
"67","2003-03-08",NA,NA,70
"68","2003-03-09",NA,NA,70
"69","2003-03-10",1.27,0.409,70
"70","2003-03-11",NA,NA,70
"71","2003-03-12",NA,NA,70
"72","2003-03-13",NA,NA,70
"73","2003-03-14",NA,NA,70
"74","2003-03-15",NA,NA,70
"75","2003-03-16",0.441,0.198,70
"76","2003-03-17",NA,NA,70
"77","2003-03-18",NA,NA,70
"78","2003-03-19",NA,NA,70
"79","2003-03-20",NA,NA,70
"80","2003-03-21",NA,NA,70
"81","2003-03-22",NA,NA,70
"82","2003-03-23",NA,NA,70
"83","2003-03-24",NA,NA,70
"84","2003-03-25",NA,NA,70
"85","2003-03-26",NA,NA,70
"86","2003-03-27",NA,NA,70
"87","2003-03-28",NA,NA,70
"88","2003-03-29",NA,NA,70
"89","2003-03-30",NA,NA,70
"90","2003-03-31",NA,NA,70
"91","2003-04-01",NA,NA,70
"92","2003-04-02",NA,NA,70
"93","2003-04-03",1.52,0.56,70
"94","2003-04-04",NA,NA,70
"95","2003-04-05",NA,NA,70
"96","2003-04-06",NA,NA,70
"97","2003-04-07",NA,NA,70
"98","2003-04-08",NA,NA,70
"99","2003-04-09",NA,NA,70
"100","2003-04-10",NA,NA,70
"101","2003-04-11",NA,NA,70
"102","2003-04-12",NA,NA,70
"103","2003-04-13",NA,NA,70
"104","2003-04-14",NA,NA,70
"105","2003-04-15",NA,NA,70
"106","2003-04-16",NA,NA,70
